,episode,scene_id,seed,revealed,reached,timeout,unique_cells_covered,reward,collisions,decision_steps
0,0,2,42,True,True,False,119,117.954,8,160
1,1,2,42,True,True,False,80,82.402,6,89
2,2,2,42,True,True,False,76,82.956,5,86
3,3,2,42,True,True,False,64,71.438,4,72
4,4,2,42,True,True,False,48,58.003,3,56
5,5,2,42,True,True,False,174,105.522,30,280
6,6,2,42,False,False,True,107,17.275,26,520
7,7,2,42,True,True,False,12,27.7,0,16
8,8,2,42,True,True,False,36,49.684,2,38
9,9,2,42,True,True,False,23,36.693,2,25
10,10,2,42,True,True,False,70,71.775,5,109
11,11,2,42,False,False,True,173,85.175,11,520
12,12,2,42,True,True,False,19,-35.504,24,46
13,13,2,42,True,True,False,23,36.187,2,25
14,14,2,42,True,True,False,34,42.436,4,40
15,15,2,42,True,True,False,20,36.423,1,21
16,16,2,42,True,True,False,149,-54.674,101,433
17,17,2,42,True,True,False,34,48.684,2,39
18,18,2,42,True,True,False,36,50.453,2,39
19,19,2,42,True,True,False,17,32.642,1,18
20,20,2,42,True,True,False,16,34.977,0,17
21,21,2,42,True,True,False,17,32.043,1,20
22,22,2,42,True,True,False,17,35.901,0,18
23,23,2,42,True,True,False,38,48.616,3,42
24,24,2,42,True,True,False,48,62.795,2,52
25,25,2,42,True,True,False,24,0.267,13,44
26,26,2,42,True,True,False,92,93.787,7,113
27,27,2,42,True,True,False,17,35.298,0,20
28,28,2,42,True,True,False,127,123.662,8,149
29,29,2,42,True,True,False,16,34.241,0,17
30,30,2,42,True,True,False,63,72.014,4,73
31,31,2,42,True,True,False,76,-59.32,70,178
32,32,2,42,True,True,False,87,64.942,13,205
33,33,2,42,False,False,True,111,-525.625,287,520
34,34,2,42,True,True,False,35,47.558,3,41
35,35,2,42,True,True,False,124,108.051,12,172
36,36,2,42,True,True,False,120,92.842,16,192
37,37,2,42,True,True,False,113,116.26,5,147
38,38,2,42,True,True,False,49,57.975,3,63
39,39,2,42,True,True,False,90,89.088,7,115
40,40,2,42,True,True,False,86,88.494,5,99
41,41,2,42,True,True,False,134,-299.613,214,440
42,42,2,42,True,True,False,143,139.166,8,161
43,43,2,42,True,True,False,98,92.499,9,139
44,44,2,42,True,True,False,63,71.726,5,81
45,45,2,42,True,True,False,84,96.248,3,91
46,46,2,42,True,True,False,55,64.641,4,66
47,47,2,42,True,True,False,36,51.531,2,45
48,48,2,42,True,True,False,60,64.4,4,130
49,49,2,42,False,False,True,135,56.275,24,520
50,50,2,42,True,True,False,12,31.111,0,13
51,51,2,42,True,True,False,34,42.394,4,45
52,52,2,42,True,True,False,82,63.202,9,175
53,53,2,42,True,True,False,84,64.022,10,260
54,54,2,42,True,True,False,38,53.447,2,42
55,55,2,42,True,True,False,18,37.166,0,18
56,56,2,42,True,True,False,33,41.484,4,42
57,57,2,42,True,True,False,96,105.424,4,107
58,58,2,42,True,True,False,19,34.787,1,22
59,59,2,42,True,True,False,173,167.432,10,218
60,60,2,42,True,True,False,168,162.763,8,250
61,61,2,42,True,True,False,60,59.583,7,86
62,62,2,42,True,True,False,53,67.594,2,66
63,63,2,42,True,True,False,17,35.173,0,17
64,64,2,42,True,True,False,235,193.582,19,502
65,65,2,42,True,True,False,82,84.489,6,103
66,66,2,42,False,False,True,142,95.675,11,520
67,67,2,42,False,False,True,205,121.15,25,520
68,68,2,42,True,True,False,47,63.011,1,52
69,69,2,42,True,True,False,10,29.48,0,10
70,70,2,42,True,True,False,172,123.76,23,315
71,71,2,42,True,True,False,48,56.072,4,54
72,72,2,42,True,True,False,45,58.973,2,49
73,73,2,42,True,False,True,271,231.433,16,520
74,74,2,42,True,True,False,8,27.776,0,10
75,75,2,42,True,True,False,124,125.264,6,148
76,76,2,42,True,True,False,13,32.06,0,14
77,77,2,42,True,True,False,12,31.645,0,12
78,78,2,42,True,True,False,16,35.104,0,19
79,79,2,42,True,True,False,16,34.425,0,19
80,80,2,42,True,True,False,37,47.947,3,43
81,81,2,42,True,True,False,230,178.256,24,382
82,82,2,42,True,True,False,17,35.201,0,18
83,83,2,42,True,True,False,17,36.734,0,18
84,84,2,42,True,True,False,79,90.281,4,89
85,85,2,42,True,True,False,45,55.495,3,51
86,86,2,42,True,True,False,243,199.24,21,432
87,87,2,42,False,False,True,188,104.4,26,520
88,88,2,42,True,True,False,13,32.225,0,13
89,89,2,42,True,True,False,22,30.967,3,29
90,90,2,42,True,True,False,48,58.609,3,56
91,91,2,42,True,True,False,68,71.93,5,75
92,92,2,42,True,True,False,9,28.534,0,9
93,93,2,42,True,True,False,138,139.31,6,170
94,94,2,42,True,True,False,100,101.921,6,127
95,95,2,42,True,True,False,11,29.09,0,14
96,96,2,42,True,True,False,39,54.145,2,45
97,97,2,42,True,True,False,9,27.248,0,10
98,98,2,42,True,True,False,20,36.657,1,21
99,99,2,42,True,True,False,34,45.531,3,39
100,100,2,42,True,True,False,42,52.663,3,48
101,101,2,42,True,True,False,269,230.122,21,393
102,102,2,42,True,True,False,11,28.19,0,14
103,103,2,42,True,True,False,10,27.879,0,11
104,104,2,42,True,True,False,132,128.908,8,171
105,105,2,42,True,True,False,10,27.413,0,15
106,106,2,42,True,True,False,39,54.455,2,43
107,107,2,42,True,True,False,36,51.155,2,41
108,108,2,42,True,True,False,14,32.257,0,15
109,109,2,42,True,True,False,19,37.892,0,20
110,110,2,42,True,True,False,24,43.093,0,26
111,111,2,42,True,True,False,116,123.294,4,134
112,112,2,42,False,False,True,160,30.55,28,520
113,113,2,42,True,True,False,9,28.06,0,10
114,114,2,42,True,True,False,79,82.051,6,97
115,115,2,42,True,True,False,27,38.873,2,32
116,116,2,42,True,True,False,18,34.245,0,23
117,117,2,42,True,True,False,9,28.214,0,12
118,118,2,42,True,True,False,199,140.522,25,446
119,119,2,42,True,True,False,86,96.385,3,92
120,120,2,42,True,True,False,18,-47.054,28,46
121,121,2,42,True,True,False,14,31.565,0,15
122,122,2,42,True,True,False,74,79.098,5,85
123,123,2,42,True,True,False,112,117.258,5,123
124,124,2,42,True,True,False,14,33.781,0,14
125,125,2,42,True,True,False,81,94.427,3,88
126,126,2,42,True,True,False,31,42.112,3,36
127,127,2,42,True,True,False,117,109.366,9,137
128,128,2,42,True,True,False,75,80.654,5,83
129,129,2,42,True,True,False,66,75.024,4,74
130,130,2,42,False,False,True,194,-112.975,134,520
131,131,2,42,True,True,False,43,53.937,3,49
132,132,2,42,True,True,False,10,29.569,0,10
133,133,2,42,True,True,False,19,33.472,1,23
134,134,2,42,True,True,False,9,28.796,0,9
135,135,2,42,True,True,False,131,127.392,8,202
136,136,2,42,True,True,False,17,35.773,0,19
137,137,2,42,True,True,False,126,25.634,48,291
138,138,2,42,True,True,False,16,34.533,0,19
139,139,2,42,True,True,False,40,52.496,3,46
140,140,2,42,True,True,False,18,37.512,0,18
141,141,2,42,True,True,False,165,153.044,11,226
142,142,2,42,True,True,False,236,214.238,14,318
143,143,2,42,True,True,False,84,89.299,5,92
144,144,2,42,True,True,False,44,58.667,2,48
145,145,2,42,True,True,False,10,28.609,0,13
146,146,2,42,True,True,False,8,27.616,0,8
147,147,2,42,True,True,False,68,75.305,4,77
148,148,2,42,False,False,True,159,32.875,48,520
149,149,2,42,True,True,False,60,63.069,5,80
150,150,2,42,True,True,False,76,81.403,5,85
151,151,2,42,False,False,True,257,177.625,28,520
152,152,2,42,True,True,False,45,56.733,2,50
153,153,2,42,True,True,False,110,118.526,5,130
154,154,2,42,True,True,False,116,91.738,15,221
155,155,2,42,True,True,False,95,96.667,6,106
156,156,2,42,True,True,False,129,118.253,11,212
157,157,2,42,True,True,False,104,103.228,6,161
158,158,2,42,True,True,False,110,114.169,5,132
159,159,2,42,True,True,False,46,56.157,3,56
