,episode,scene_id,seed,revealed,reached,timeout,unique_cells_covered,reward,collisions,decision_steps
0,0,2,42,True,True,False,21,36.583,1,23
1,1,2,42,True,True,False,22,38.056,1,24
2,2,2,42,True,True,False,170,-209.593,180,516
3,3,2,42,True,True,False,96,109.982,2,108
4,4,2,42,True,True,False,82,91.764,3,90
5,5,2,42,True,True,False,10,27.691,0,17
6,6,2,42,False,False,True,164,-517.475,175,520
7,7,2,42,True,True,False,9,25.658,1,11
8,8,2,42,True,True,False,20,33.579,1,26
9,9,2,42,True,True,False,12,27.152,0,21
10,10,2,42,True,True,False,15,34.289,0,15
11,11,2,42,True,True,False,111,-132.0,113,293
12,12,2,42,True,True,False,80,90.428,3,96
13,13,2,42,True,True,False,71,83.643,2,79
14,14,2,42,True,True,False,19,27.299,3,29
15,15,2,42,True,True,False,91,101.97,3,101
16,16,2,42,True,True,False,102,100.718,7,122
17,17,2,42,True,True,False,19,34.525,0,28
18,18,2,42,True,True,False,78,89.61,3,93
19,19,2,42,True,True,False,83,80.122,8,106
20,20,2,42,True,True,False,27,32.432,0,44
21,21,2,42,True,True,False,46,57.891,3,58
22,22,2,42,True,True,False,98,88.719,8,132
23,23,2,42,True,True,False,66,68.421,5,85
24,24,2,42,True,True,False,23,19.918,1,35
25,25,2,42,True,True,False,201,143.302,20,318
26,26,2,42,False,False,True,247,181.175,15,520
27,27,2,42,True,True,False,42,55.488,2,47
28,28,2,42,True,True,False,32,46.02,2,35
29,29,2,42,True,True,False,112,117.969,5,142
30,30,2,42,True,True,False,88,97.722,3,95
31,31,2,42,True,True,False,64,76.432,2,82
32,32,2,42,True,True,False,134,131.835,8,196
33,33,2,42,True,True,False,147,142.611,8,183
34,34,2,42,True,True,False,25,38.055,2,29
35,35,2,42,True,True,False,106,110.198,6,127
36,36,2,42,True,True,False,56,55.905,6,89
37,37,2,42,True,True,False,10,29.678,0,10
38,38,2,42,True,True,False,112,121.422,4,135
39,39,2,42,True,True,False,34,31.952,1,43
40,40,2,42,True,True,False,93,93.568,5,181
41,41,2,42,True,True,False,23,35.352,1,38
42,42,2,42,True,True,False,54,35.39,3,61
43,43,2,42,True,True,False,47,43.8,3,69
44,44,2,42,True,True,False,22,38.299,1,23
45,45,2,42,True,True,False,50,62.896,2,57
46,46,2,42,True,True,False,38,48.933,2,45
47,47,2,42,True,True,False,60,64.718,3,82
48,48,2,42,True,True,False,39,54.342,1,46
49,49,2,42,True,True,False,9,17.231,3,15
50,50,2,42,True,True,False,46,56.793,3,55
51,51,2,42,True,True,False,156,-59.056,97,380
52,52,2,42,True,True,False,38,56.462,0,55
53,53,2,42,True,True,False,159,143.209,11,259
54,54,2,42,True,True,False,83,93.885,3,94
55,55,2,42,True,True,False,15,34.497,0,16
56,56,2,42,True,True,False,8,26.431,0,13
57,57,2,42,True,True,False,51,59.194,4,64
