,episode,scene_id,seed,revealed,reached,timeout,unique_cells_covered,reward,collisions,decision_steps
0,0,1,42,True,True,False,29,44.961,1,39
1,1,1,42,True,True,False,122,115.429,10,177
2,2,1,42,True,True,False,15,34.814,0,15
3,3,1,42,True,True,False,41,54.764,2,50
4,4,1,42,False,False,True,161,75.0,25,520
5,5,1,42,True,True,False,78,80.009,7,97
6,6,1,42,True,True,False,64,73.96,4,85
7,7,1,42,True,True,False,9,28.778,0,9
8,8,1,42,True,True,False,29,40.016,1,40
9,9,1,42,True,True,False,85,83.817,6,119
10,10,1,42,True,True,False,8,27.059,0,10
11,11,1,42,True,True,False,15,34.002,0,16
12,12,1,42,False,False,True,172,-593.25,29,520
13,13,1,42,False,False,True,103,-277.375,149,520
14,14,1,42,True,True,False,118,84.747,14,230
15,15,1,42,True,True,False,36,48.934,3,50
16,16,1,42,True,True,False,39,50.602,3,47
17,17,1,42,True,True,False,18,35.076,1,21
18,18,1,42,True,True,False,167,-16.755,22,356
19,19,1,42,True,True,False,67,65.842,8,92
20,20,1,42,True,True,False,214,150.618,28,469
21,21,1,42,True,True,False,20,36.436,1,23
22,22,1,42,True,True,False,15,33.616,0,16
23,23,1,42,True,True,False,9,27.892,0,10
24,24,1,42,True,True,False,46,60.5,2,52
25,25,1,42,True,True,False,62,69.388,4,76
26,26,1,42,True,True,False,8,27.092,0,8
27,27,1,42,True,True,False,92,73.6,14,133
28,28,1,42,True,True,False,12,31.324,0,12
29,29,1,42,True,True,False,107,-171.858,136,354
30,30,1,42,True,True,False,131,112.766,13,181
31,31,1,42,False,False,True,208,-546.575,42,520
32,32,1,42,False,False,True,69,-18485.9,7,520
33,33,1,42,True,True,False,11,29.923,0,12
34,34,1,42,True,True,False,99,89.026,10,148
35,35,1,42,True,True,False,54,64.614,3,64
36,36,1,42,False,False,True,204,80.775,48,520
37,37,1,42,True,True,False,15,34.766,0,19
38,38,1,42,True,True,False,16,32.122,1,18
39,39,1,42,True,True,False,108,102.246,11,157
40,40,1,42,False,False,True,131,-77.075,73,520
41,41,1,42,True,True,False,10,28.988,0,11
42,42,1,42,True,True,False,107,11.545,41,252
43,43,1,42,True,True,False,11,30.484,0,11
44,44,1,42,False,False,True,155,-81.65,86,520
45,45,1,42,True,True,False,19,35.615,1,22
46,46,1,42,True,True,False,7,26.103,0,8
47,47,1,42,False,False,True,139,34.225,35,520
48,48,1,42,True,True,False,13,26.888,1,17
49,49,1,42,False,False,True,240,156.25,28,520
50,50,1,42,True,True,False,129,100.949,15,240
51,51,1,42,True,True,False,143,121.167,13,267
52,52,1,42,True,True,False,174,120.617,27,360
53,53,1,42,True,True,False,34,-50030.345,4,492
54,54,1,42,True,True,False,93,96.323,6,108
55,55,1,42,True,True,False,31,-3118.18,1,150
56,56,1,42,True,False,True,118,-34596.005,10,520
