,episode,scene_id,seed,revealed,reached,timeout,unique_cells_covered,reward,collisions,decision_steps
131,131,2,42,True,True,False,11,30.742,0,11
132,132,2,42,False,False,True,205,96.8,29,520
133,133,2,42,True,True,False,20,33.292,2,21
134,134,2,42,False,False,True,165,109.475,15,520
135,135,2,42,True,True,False,48,61.601,2,55
136,136,2,42,True,True,False,11,30.484,0,11
137,137,2,42,True,True,False,13,31.182,0,17
138,138,2,42,True,True,False,135,120.387,11,219
139,139,2,42,True,True,False,74,66.786,9,108
140,140,2,42,True,True,False,16,35.741,0,16
141,141,2,42,False,False,True,127,-45.225,54,520
142,142,2,42,True,True,False,11,29.985,0,15
143,143,2,42,True,True,False,36,48.547,2,39
144,144,2,42,True,True,False,62,73.269,3,77
145,145,2,42,True,True,False,156,146.728,9,272
146,146,2,42,True,True,False,39,52.745,2,42
147,147,2,42,True,True,False,14,33.104,0,15
148,148,2,42,True,True,False,25,41.781,1,28
149,149,2,42,True,True,False,183,177.299,9,232
150,150,2,42,True,True,False,20,35.42,1,22
151,151,2,42,True,True,False,41,50.8,3,47
152,152,2,42,True,True,False,10,29.103,0,10
153,153,2,42,True,True,False,16,35.058,0,17
154,154,2,42,True,True,False,85,86.523,7,97
155,155,2,42,True,True,False,123,107.193,13,211
156,156,2,42,True,True,False,12,28.281,0,13
157,157,2,42,True,True,False,10,29.798,0,11
158,158,2,42,True,True,False,11,30.786,0,12
159,159,2,42,True,True,False,136,140.322,6,157
160,160,2,42,True,True,False,44,51.853,4,50
161,161,2,42,True,True,False,81,68.614,7,138
162,162,2,42,True,True,False,195,155.821,19,440
163,163,2,42,True,True,False,87,90.661,6,97
164,164,2,42,True,True,False,48,54.317,4,56
165,165,2,42,True,True,False,82,92.841,4,93
166,166,2,42,True,True,False,44,57.625,2,49
167,167,2,42,True,True,False,76,84.279,4,88
168,168,2,42,True,True,False,11,30.816,0,11
169,169,2,42,True,True,False,18,33.796,1,19
170,170,2,42,True,True,False,103,99.662,7,163
171,171,2,42,True,True,False,82,71.415,7,126
172,172,2,42,True,True,False,93,100.713,5,105
173,173,2,42,True,True,False,130,121.296,9,184
174,174,2,42,True,True,False,9,28.37,0,9
175,175,2,42,True,True,False,194,155.614,20,348
176,176,2,42,True,True,False,17,36.256,0,18
177,177,2,42,True,True,False,23,33.589,1,32
178,178,2,42,True,True,False,9,28.695,0,9
179,179,2,42,True,True,False,32,46.266,2,40
180,180,2,42,True,True,False,14,32.187,0,15
181,181,2,42,True,True,False,83,92.57,4,90
182,182,2,42,True,True,False,40,20.746,4,75
183,183,2,42,True,True,False,17,32.637,1,18
184,184,2,42,True,True,False,29,44.697,1,34
185,185,2,42,True,True,False,70,77.054,5,81
186,186,2,42,True,True,False,29,34.615,3,44
187,187,2,42,True,True,False,47,60.33,2,52
188,188,2,42,True,True,False,56,55.024,6,127
189,189,2,42,True,True,False,13,32.66,0,13
190,190,2,42,True,True,False,47,51.611,6,67
191,191,2,42,False,False,True,142,12.15,40,520
192,192,2,42,True,True,False,23,38.883,1,27
193,193,2,42,True,True,False,12,31.0,0,14
194,194,2,42,True,True,False,18,37.089,0,19
195,195,2,42,True,True,False,22,38.615,1,24
196,196,2,42,False,False,True,195,97.325,28,520
197,197,2,42,True,True,False,85,89.624,5,101
198,198,2,42,True,True,False,113,109.229,8,146
199,199,2,42,True,True,False,36,42.784,4,54
200,200,2,42,True,True,False,13,32.512,0,14
201,201,2,42,True,True,False,8,27.537,0,8
202,202,2,42,True,True,False,55,63.804,4,61
203,203,2,42,True,True,False,78,85.56,4,91
204,204,2,42,True,True,False,11,30.672,0,12
205,205,2,42,True,True,False,193,185.454,11,242
206,206,2,42,True,True,False,34,45.539,3,43
207,207,2,42,True,True,False,129,129.608,3,173
208,208,2,42,True,True,False,18,33.536,1,22
209,209,2,42,True,True,False,15,34.798,0,16
210,210,2,42,True,True,False,58,65.582,4,67
211,211,2,42,True,True,False,18,37.492,0,18
212,212,2,42,True,True,False,62,56.68,10,127
213,213,2,42,True,True,False,21,28.299,2,31
214,214,2,42,True,True,False,171,159.622,9,317
215,215,2,42,True,True,False,68,74.421,4,75
216,216,2,42,True,True,False,151,92.39,25,361
217,217,2,42,True,True,False,143,103.063,22,264
218,218,2,42,True,True,False,51,39.541,6,79
219,219,2,42,True,True,False,23,36.017,2,28
220,220,2,42,True,True,False,36,45.47,3,43
221,221,2,42,True,True,False,71,82.46,4,80
222,222,2,42,True,True,False,28,43.821,1,32
223,223,2,42,True,True,False,80,82.911,5,91
224,224,2,42,True,True,False,27,44.092,1,31
225,225,2,42,True,True,False,86,86.435,6,106
226,226,2,42,True,True,False,21,37.609,1,22
227,227,2,42,True,True,False,13,30.91,0,14
228,228,2,42,False,False,True,215,87.025,39,520
229,229,2,42,True,True,False,148,75.841,29,386
230,230,2,42,True,True,False,45,55.506,3,50
231,231,2,42,True,True,False,49,58.258,1,76
232,232,2,42,True,True,False,81,76.813,6,105
233,233,2,42,True,True,False,63,69.377,5,73
234,234,2,42,True,True,False,26,40.073,2,30
235,235,2,42,True,True,False,44,53.875,3,49
236,236,2,42,True,True,False,88,88.319,8,128
237,237,2,42,True,True,False,20,36.37,1,23
238,238,2,42,False,False,True,158,61.375,35,520
239,239,2,42,True,True,False,21,31.946,1,32
240,240,2,42,True,True,False,89,89.083,7,114
241,241,2,42,True,True,False,59,63.939,6,84
242,242,2,42,True,True,False,13,32.377,0,13
243,243,2,42,True,True,False,11,30.799,0,11
244,244,2,42,True,True,False,16,34.538,0,17
245,245,2,42,True,True,False,116,124.468,5,133
246,246,2,42,True,True,False,39,38.071,7,78
247,247,2,42,True,True,False,14,31.761,0,20
248,248,2,42,True,True,False,120,128.682,4,134
249,249,2,42,True,True,False,23,40.809,1,25
250,250,2,42,True,True,False,46,44.615,9,70
251,251,2,42,True,True,False,43,54.213,3,47
252,252,2,42,True,True,False,13,32.377,0,13
253,253,2,42,True,True,False,15,34.786,0,16
254,254,2,42,True,True,False,12,30.661,0,13
255,255,2,42,True,True,False,61,70.544,4,81
256,256,2,42,True,True,False,28,43.805,1,31
257,257,2,42,False,False,True,170,-7.95,54,520
258,258,2,42,True,True,False,61,68.998,4,66
259,259,2,42,True,True,False,8,27.606,0,10
260,260,2,42,True,True,False,127,110.529,8,211
261,261,2,42,True,True,False,82,92.098,3,92
262,262,2,42,True,True,False,116,100.788,14,176
263,263,2,42,True,True,False,22,37.807,1,24
264,264,2,42,True,True,False,52,61.511,4,66
265,265,2,42,True,True,False,84,89.246,5,93
266,266,2,42,True,True,False,19,34.426,0,25
267,267,2,42,True,True,False,14,33.587,0,14
268,268,2,42,True,True,False,198,134.767,31,375
269,269,2,42,True,True,False,83,91.514,4,96
270,270,2,42,True,True,False,19,35.378,1,20
271,271,2,42,True,True,False,65,72.579,4,69
272,272,2,42,True,True,False,65,78.397,2,73
273,273,2,42,True,True,False,24,41.735,1,26
274,274,2,42,True,True,False,12,30.661,0,12
275,275,2,42,False,False,True,172,66.725,31,520
276,276,2,42,True,True,False,112,102.012,9,147
277,277,2,42,True,True,False,47,60.039,2,51
278,278,2,42,True,True,False,8,27.718,0,8
279,279,2,42,True,True,False,12,31.816,0,12
280,280,2,42,True,True,False,70,76.482,4,79
281,281,2,42,True,True,False,107,114.101,5,119
282,282,2,42,True,True,False,52,62.216,4,63
283,283,2,42,True,True,False,47,57.741,3,53
284,284,2,42,True,True,False,94,104.091,3,103
285,285,2,42,True,True,False,132,141.451,4,151
286,286,2,42,True,True,False,25,40.382,1,30
287,287,2,42,True,True,False,154,141.847,11,224
288,288,2,42,True,True,False,16,35.002,0,19
289,289,2,42,True,True,False,92,99.95,4,102
290,290,2,42,True,True,False,25,40.546,1,29
291,291,2,42,True,True,False,147,141.443,8,179
292,292,2,42,True,True,False,130,65.328,27,364
293,293,2,42,True,True,False,24,40.071,1,25
294,294,2,42,True,True,False,22,37.891,1,25
295,295,2,42,True,True,False,10,28.745,0,10
296,296,2,42,True,True,False,57,71.146,2,63
297,297,2,42,True,True,False,14,31.719,0,15
298,298,2,42,True,True,False,71,64.395,8,141
299,299,2,42,True,True,False,218,175.872,15,454
300,300,2,42,True,True,False,17,36.109,0,18
301,301,2,42,True,True,False,35,47.707,3,41
302,302,2,42,True,True,False,11,29.512,0,12
303,303,2,42,True,True,False,55,64.609,4,63
304,304,2,42,True,True,False,11,29.798,0,12
305,305,2,42,True,True,False,16,35.803,0,16
306,306,2,42,True,True,False,8,27.817,0,8
307,307,2,42,True,True,False,172,118.962,23,385
308,308,2,42,True,True,False,35,47.608,2,40
309,309,2,42,True,True,False,185,107.227,29,491
310,310,2,42,True,True,False,150,121.044,14,320
311,311,2,42,True,True,False,110,83.936,9,165
312,312,2,42,True,True,False,222,162.314,25,476
313,313,2,42,True,True,False,24,41.297,1,26
314,314,2,42,True,True,False,36,50.41,2,43
315,315,2,42,True,True,False,20,39.122,0,21
316,316,2,42,True,True,False,87,76.091,10,145
317,317,2,42,True,True,False,59,66.646,3,71
318,318,2,42,True,True,False,25,42.817,1,27
319,319,2,42,True,True,False,93,93.763,6,113
320,320,2,42,True,True,False,163,135.277,16,280
321,321,2,42,True,True,False,12,31.77,0,12
322,322,2,42,True,True,False,14,33.026,0,15
323,323,2,42,True,True,False,175,159.852,12,271
324,324,2,42,True,True,False,48,47.076,6,73
325,325,2,42,True,True,False,13,30.959,0,14
326,326,2,42,True,True,False,65,73.635,4,72
327,327,2,42,True,True,False,175,159.29,10,278
328,328,2,42,True,True,False,130,106.333,16,201
329,329,2,42,True,True,False,70,79.375,3,75
330,330,2,42,True,True,False,29,41.824,2,35
331,331,2,42,True,True,False,101,104.268,6,124
332,332,2,42,True,True,False,60,63.873,6,83
333,333,2,42,True,True,False,81,65.442,9,128
334,334,2,42,True,True,False,9,27.533,0,10
335,335,2,42,True,True,False,24,40.056,1,25
336,336,2,42,True,True,False,16,31.97,1,16
337,337,2,42,True,True,False,23,30.73,3,32
338,338,2,42,True,True,False,16,34.103,0,17
339,339,2,42,True,True,False,23,39.092,1,26
340,340,2,42,False,False,True,240,175.65,19,520
341,341,2,42,True,True,False,41,47.815,5,52
342,342,2,42,True,True,False,21,37.102,1,22
343,343,2,42,True,True,False,68,64.614,6,157
344,344,2,42,True,True,False,13,32.493,0,13
345,345,2,42,True,True,False,9,28.001,0,10
346,346,2,42,True,True,False,17,32.552,1,18
347,347,2,42,True,True,False,110,114.852,5,136
348,348,2,42,True,True,False,8,27.311,0,8
349,349,2,42,True,True,False,32,39.38,4,47
350,350,2,42,True,True,False,55,59.719,5,69
351,351,2,42,True,True,False,24,39.804,1,27
352,352,2,42,True,True,False,17,35.773,0,18
